date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2011-09,4412,CUTHBERT DAVID,N/A,N/A,3
2011-10,4412,CUTHBERT DAVID,N/A,N/A,11
2011-11,4412,CUTHBERT DAVID,N/A,N/A,17
2011-12,4412,CUTHBERT DAVID,N/A,N/A,19
2012-01,4412,CUTHBERT DAVID,N/A,N/A,3
2012-02,4412,CUTHBERT DAVID,N/A,N/A,13
2012-03,4412,CUTHBERT DAVID,N/A,N/A,5
2012-04,4412,CUTHBERT DAVID,N/A,N/A,8
2012-05,4412,CUTHBERT DAVID,N/A,N/A,2
2012-06,4412,CUTHBERT DAVID,N/A,N/A,8
2012-07,4412,CUTHBERT DAVID,N/A,N/A,0
2012-08,4412,CUTHBERT DAVID,N/A,N/A,12
2012-09,4412,CUTHBERT DAVID,N/A,N/A,20
2012-10,4412,CUTHBERT DAVID,N/A,N/A,11
2012-11,4412,CUTHBERT DAVID,N/A,N/A,5
2012-12,4412,CUTHBERT DAVID,N/A,N/A,9
2013-01,4412,CUTHBERT DAVID,N/A,N/A,21
2013-02,4412,CUTHBERT DAVID,N/A,N/A,18
2013-03,4412,CUTHBERT DAVID,N/A,N/A,10
2013-04,4412,CUTHBERT DAVID,N/A,N/A,11
2013-05,4412,CUTHBERT DAVID,N/A,N/A,21
2013-06,4412,CUTHBERT DAVID,N/A,N/A,15
2013-07,4412,CUTHBERT DAVID,N/A,N/A,26
2013-08,4412,CUTHBERT DAVID,N/A,N/A,4
2013-09,4412,CUTHBERT DAVID,N/A,N/A,8
2013-10,4412,CUTHBERT DAVID,N/A,N/A,14
2013-11,4412,CUTHBERT DAVID,N/A,N/A,4
2013-12,4412,CUTHBERT DAVID,N/A,N/A,10
2014-01,4412,CUTHBERT DAVID,N/A,N/A,8
2014-02,4412,CUTHBERT DAVID,N/A,N/A,8
2014-03,4412,CUTHBERT DAVID,N/A,N/A,14
2014-04,4412,CUTHBERT DAVID,N/A,N/A,6
2014-05,4412,CUTHBERT DAVID,N/A,N/A,15
2014-06,4412,CUTHBERT DAVID,N/A,N/A,7
2014-07,4412,CUTHBERT DAVID,N/A,N/A,2
2014-08,4412,CUTHBERT DAVID,N/A,N/A,5
2014-09,4412,CUTHBERT DAVID,N/A,N/A,13
2014-10,4412,CUTHBERT DAVID,N/A,N/A,6
2014-11,4412,CUTHBERT DAVID,N/A,N/A,9
2014-12,4412,CUTHBERT DAVID,N/A,N/A,4
2015-01,4412,CUTHBERT DAVID,N/A,N/A,8
2015-02,4412,CUTHBERT DAVID,N/A,N/A,4
2015-03,4412,CUTHBERT DAVID,N/A,N/A,11
2015-04,4412,CUTHBERT DAVID,N/A,N/A,9
2015-05,4412,CUTHBERT DAVID,N/A,N/A,9
2015-06,4412,CUTHBERT DAVID,N/A,N/A,9
2015-07,4412,CUTHBERT DAVID,N/A,N/A,2
2015-08,4412,CUTHBERT DAVID,N/A,N/A,0
2015-09,4412,CUTHBERT DAVID,N/A,N/A,4
2015-10,4412,CUTHBERT DAVID,N/A,N/A,2
2015-11,4412,CUTHBERT DAVID,N/A,N/A,6
2015-12,4412,CUTHBERT DAVID,N/A,N/A,0
2016-01,4412,CUTHBERT DAVID,N/A,N/A,9
2016-02,4412,CUTHBERT DAVID,N/A,N/A,7
2016-03,4412,CUTHBERT DAVID,N/A,N/A,3
2016-04,4412,CUTHBERT DAVID,N/A,N/A,5
2016-05,4412,CUTHBERT DAVID,N/A,N/A,9
2016-06,4412,CUTHBERT DAVID,N/A,N/A,5
2016-07,4412,CUTHBERT DAVID,N/A,N/A,7
2016-08,4412,CUTHBERT DAVID,N/A,N/A,4
2016-09,4412,CUTHBERT DAVID,N/A,N/A,3
2016-10,4412,CUTHBERT DAVID,N/A,N/A,8
2016-11,4412,CUTHBERT DAVID,N/A,N/A,0
2016-12,4412,CUTHBERT DAVID,N/A,N/A,5
2017-01,4412,CUTHBERT DAVID,N/A,N/A,6
2017-02,4412,CUTHBERT DAVID,N/A,N/A,2
2017-03,4412,CUTHBERT DAVID,N/A,N/A,3
2017-04,4412,CUTHBERT DAVID,N/A,N/A,6
2017-05,4412,CUTHBERT DAVID,N/A,N/A,10
2017-06,4412,CUTHBERT DAVID,N/A,N/A,2
2017-07,4412,CUTHBERT DAVID,N/A,N/A,2
2017-08,4412,CUTHBERT DAVID,N/A,N/A,8
2017-09,4412,CUTHBERT DAVID,N/A,N/A,8
2017-10,4412,CUTHBERT DAVID,N/A,N/A,6
2017-11,4412,CUTHBERT DAVID,N/A,N/A,5
2017-12,4412,CUTHBERT DAVID,N/A,N/A,9
2018-01,4412,CUTHBERT DAVID,N/A,N/A,3
2018-02,4412,CUTHBERT DAVID,N/A,N/A,6
2018-03,4412,CUTHBERT DAVID,N/A,N/A,0
2018-04,4412,CUTHBERT DAVID,N/A,N/A,6
2018-05,4412,CUTHBERT DAVID,N/A,N/A,4
2018-06,4412,CUTHBERT DAVID,N/A,N/A,3
2018-07,4412,CUTHBERT DAVID,N/A,N/A,6
2018-08,4412,CUTHBERT DAVID,N/A,N/A,5
2018-09,4412,CUTHBERT DAVID,N/A,N/A,3
2018-10,4412,CUTHBERT DAVID,N/A,N/A,6
2018-11,4412,CUTHBERT DAVID,N/A,N/A,2
2018-12,4412,CUTHBERT DAVID,N/A,N/A,9
2019-01,4412,CUTHBERT DAVID,N/A,N/A,3
2019-02,4412,CUTHBERT DAVID,N/A,N/A,8
2019-03,4412,CUTHBERT DAVID,N/A,N/A,3
2019-04,4412,CUTHBERT DAVID,N/A,N/A,2
2019-05,4412,CUTHBERT DAVID,N/A,N/A,2
2019-06,4412,CUTHBERT DAVID,N/A,N/A,9
2019-07,4412,CUTHBERT DAVID,N/A,N/A,5
2019-08,4412,CUTHBERT DAVID,N/A,N/A,0
2019-09,4412,CUTHBERT DAVID,N/A,N/A,4
2019-10,4412,CUTHBERT DAVID,N/A,N/A,3
2019-11,4412,CUTHBERT DAVID,N/A,N/A,3
2019-12,4412,CUTHBERT DAVID,N/A,N/A,7
2020-01,4412,CUTHBERT DAVID,N/A,N/A,1
2020-02,4412,CUTHBERT DAVID,N/A,N/A,6
2020-03,4412,CUTHBERT DAVID,N/A,N/A,6
2020-04,4412,CUTHBERT DAVID,N/A,N/A,2
2020-05,4412,CUTHBERT DAVID,N/A,N/A,1
2020-06,4412,CUTHBERT DAVID,N/A,N/A,1
2020-07,4412,CUTHBERT DAVID,N/A,N/A,4
2020-08,4412,CUTHBERT DAVID,N/A,N/A,4
2020-09,4412,CUTHBERT DAVID,N/A,N/A,5
2020-10,4412,CUTHBERT DAVID,N/A,N/A,1
2020-11,4412,CUTHBERT DAVID,N/A,N/A,3
2020-12,4412,CUTHBERT DAVID,N/A,N/A,10
2021-01,4412,CUTHBERT DAVID,N/A,N/A,6
