date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2010-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2010-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2011-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2011-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2011-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
2012-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2012-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2012-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2012-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,8
2012-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
2012-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
2012-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2012-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2012-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2012-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2012-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
2012-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2013-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2013-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,100
2013-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,25
2013-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,16
2013-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,10
2013-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,40
2013-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,13
2013-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2013-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,6
2013-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,21
2013-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2013-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,16
2014-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,9
2014-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,6
2014-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2014-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,6
2014-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2014-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2014-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,11
2014-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2014-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2014-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,16
2014-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2014-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2015-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2015-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2015-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2015-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,13
2015-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2015-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,21
2015-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,10
2015-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,17
2015-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,10
2015-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,9
2015-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2015-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2016-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2016-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2016-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2016-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2016-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2016-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2016-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2016-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2016-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2016-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2016-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2016-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2017-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2017-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2017-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2017-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2017-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2017-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2017-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,3
2017-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,2
2017-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,2
2017-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2017-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,9
2017-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2018-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,25
2018-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2018-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,9
2018-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,12
2018-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,34
2018-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,39
2018-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,22
2018-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,14
2018-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,14
2018-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2018-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,9
2018-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,16
2019-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2019-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2019-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2019-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,21
2019-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,14
2019-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,14
2019-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,14
2019-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2019-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
2019-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,15
2019-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,19
2019-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,21
2020-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,22
2020-02,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,11
2020-03,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,7
2020-04,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,9
2020-05,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,5
2020-06,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,10
2020-07,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,14
2020-08,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
2020-09,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,8
2020-10,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,2
2020-11,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,0
2020-12,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
2021-01,3898,COMBES MICHEL,Chief Executive Officer of Sprint,Michel Combes,4
