date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2008-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,34
2008-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2008-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2008-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2008-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,31
2009-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,28
2009-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,29
2009-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2009-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,26
2010-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,24
2010-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2010-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,16
2011-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,16
2011-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2011-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2011-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,12
2012-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,11
2012-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2012-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,10
2013-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,11
2013-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,10
2013-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2013-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,10
2014-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,10
2014-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,11
2014-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2014-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,22
2014-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2015-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2015-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,11
2015-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2015-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,22
2015-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2015-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,35
2015-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,22
2015-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,11
2015-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,31
2015-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,10
2015-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,10
2015-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,10
2016-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2016-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2016-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2016-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,33
2016-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2016-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,17
2016-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,9
2016-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,17
2016-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2016-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,16
2016-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,24
2016-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2017-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,22
2017-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2017-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,28
2017-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2017-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2017-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2017-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2017-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2017-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2017-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2017-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2017-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2018-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,21
2018-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,8
2018-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2018-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2018-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2018-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2018-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2018-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2018-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2018-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2018-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2018-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2019-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2019-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2019-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2019-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2019-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2019-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,22
2019-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,15
2019-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,14
2019-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2019-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2019-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2019-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2020-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,19
2020-02,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2020-03,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,23
2020-04,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2020-05,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
2020-06,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,12
2020-07,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,25
2020-08,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,61
2020-09,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,30
2020-10,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2020-11,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,7
2020-12,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,34
2021-01,1368,BELLM BRENT,CEO of BigCommerce,Brent Bellm,0
